,year,nuts_id,nuts_year_spec,deep_learning_count
471,2018.0,CZ0,2016,23
472,2018.0,DE1,2016,41
473,2018.0,DE2,2016,50
474,2018.0,DE3,2016,30
475,2018.0,DE6,2016,9
476,2018.0,DE7,2016,6
477,2018.0,DE8,2016,1
478,2018.0,DE9,2016,8
479,2018.0,DEA,2016,28
480,2018.0,DEB,2016,7
481,2018.0,DEC,2016,3
482,2018.0,DED,2016,44
483,2018.0,DEE,2016,1
484,2018.0,DEF,2016,3
485,2018.0,DK0,2016,16
486,2018.0,EL3,2016,5
487,2018.0,EL4,2016,1
488,2018.0,EL5,2016,3
489,2018.0,EL6,2016,3
490,2018.0,ES1,2016,1
491,2018.0,ES2,2016,3
492,2018.0,ES3,2016,16
493,2018.0,ES4,2016,1
494,2018.0,ES5,2016,24
495,2018.0,ES6,2016,10
496,2018.0,FI1,2016,10
497,2018.0,FR1,2016,93
498,2018.0,FRC,2016,1
499,2018.0,FRD,2016,1
500,2018.0,FRE,2016,2
501,2018.0,FRG,2016,1
502,2018.0,FRH,2016,1
503,2018.0,FRJ,2016,1
504,2018.0,FRK,2016,3
505,2018.0,FRL,2016,4
506,2018.0,HR0,2016,1
507,2018.0,HU1,2016,2
508,2018.0,IE0,2016,11
509,2018.0,IS0,2016,1
510,2018.0,ITC,2016,13
511,2018.0,ITF,2016,2
512,2018.0,ITH,2016,31
513,2018.0,ITI,2016,43
514,2018.0,LT0,2016,1
515,2018.0,LU0,2016,2
516,2018.0,NL1,2016,4
517,2018.0,NL2,2016,20
518,2018.0,NL3,2016,54
519,2018.0,NL4,2016,2
520,2018.0,NO0,2016,12
521,2018.0,PL2,2016,5
522,2018.0,PL5,2016,1
523,2018.0,PL6,2016,1
524,2018.0,PL7,2016,4
525,2018.0,PL9,2016,7
526,2018.0,PT1,2016,4
527,2018.0,RO3,2016,3
528,2018.0,RO4,2016,2
529,2018.0,RS1,2016,1
530,2018.0,SE1,2016,13
531,2018.0,SE2,2016,6
532,2018.0,SI0,2016,2
533,2018.0,TR1,2016,6
534,2018.0,TR5,2016,5
535,2018.0,TR8,2016,1
536,2018.0,UKC,2016,3
537,2018.0,UKD,2016,12
538,2018.0,UKE,2016,16
539,2018.0,UKF,2016,5
540,2018.0,UKG,2016,11
541,2018.0,UKH,2016,34
542,2018.0,UKI,2016,41
543,2018.0,UKJ,2016,51
544,2018.0,UKK,2016,11
545,2018.0,UKL,2016,2
546,2018.0,UKM,2016,22
547,2018.0,UKN,2016,1
548,2019.0,AT1,2016,15
549,2019.0,AT2,2016,9
550,2019.0,AT3,2016,10
551,2019.0,BE1,2016,2
552,2019.0,BE2,2016,9
553,2019.0,BE3,2016,6
554,2019.0,BG4,2016,4
555,2019.0,CH0,2016,130
556,2019.0,CY0,2016,2
557,2019.0,CZ0,2016,61
558,2019.0,DE1,2016,43
559,2019.0,DE2,2016,52
560,2019.0,DE3,2016,63
561,2019.0,DE4,2016,6
562,2019.0,DE5,2016,7
563,2019.0,DE6,2016,8
564,2019.0,DE7,2016,16
565,2019.0,DE9,2016,8
566,2019.0,DEA,2016,40
567,2019.0,DEB,2016,18
568,2019.0,DEC,2016,3
569,2019.0,DED,2016,43
570,2019.0,DEE,2016,2
571,2019.0,DEF,2016,1
572,2019.0,DEG,2016,1
573,2019.0,DK0,2016,37
574,2019.0,EE0,2016,4
575,2019.0,EL3,2016,13
576,2019.0,EL5,2016,5
577,2019.0,EL6,2016,1
578,2019.0,ES1,2016,2
579,2019.0,ES2,2016,3
580,2019.0,ES3,2016,12
581,2019.0,ES4,2016,1
582,2019.0,ES5,2016,19
583,2019.0,ES6,2016,9
584,2019.0,ES7,2016,2
585,2019.0,FI1,2016,8
586,2019.0,FR1,2016,55
587,2019.0,FRC,2016,2
588,2019.0,FRD,2016,1
589,2019.0,FRF,2016,2
590,2019.0,FRG,2016,4
591,2019.0,FRJ,2016,3
592,2019.0,FRK,2016,5
593,2019.0,FRL,2016,5
594,2019.0,HR0,2016,2
595,2019.0,HU1,2016,5
596,2019.0,HU3,2016,1
597,2019.0,IE0,2016,6
598,2019.0,IS0,2016,3
599,2019.0,ITC,2016,21
600,2019.0,ITF,2016,9
601,2019.0,ITG,2016,2
602,2019.0,ITH,2016,40
603,2019.0,ITI,2016,82
604,2019.0,LT0,2016,1
605,2019.0,MT0,2016,2
606,2019.0,NL1,2016,8
607,2019.0,NL2,2016,19
608,2019.0,NL3,2016,59
609,2019.0,NL4,2016,11
610,2019.0,NO0,2016,27
611,2019.0,PL2,2016,10
612,2019.0,PL6,2016,1
613,2019.0,PL7,2016,2
614,2019.0,PL9,2016,5
615,2019.0,PT1,2016,9
616,2019.0,RO3,2016,2
617,2019.0,RO4,2016,2
618,2019.0,SE1,2016,15
619,2019.0,SE2,2016,5
620,2019.0,SE3,2016,1
621,2019.0,SI0,2016,8
622,2019.0,SK0,2016,1
623,2019.0,TR1,2016,3
624,2019.0,TR3,2016,1
625,2019.0,TR5,2016,11
626,2019.0,TR9,2016,1
627,2019.0,UKC,2016,5
628,2019.0,UKD,2016,17
629,2019.0,UKE,2016,18
630,2019.0,UKF,2016,15
631,2019.0,UKG,2016,17
632,2019.0,UKH,2016,47
633,2019.0,UKI,2016,67
634,2019.0,UKJ,2016,81
635,2019.0,UKK,2016,15
636,2019.0,UKL,2016,4
637,2019.0,UKM,2016,54
638,2019.0,UKN,2016,3
639,2020.0,AT1,2016,24
640,2020.0,AT2,2016,11
641,2020.0,AT3,2016,14
642,2020.0,BE1,2016,1
643,2020.0,BE2,2016,7
644,2020.0,BE3,2016,5
645,2020.0,CH0,2016,128
646,2020.0,CY0,2016,2
647,2020.0,CZ0,2016,69
648,2020.0,DE1,2016,61
649,2020.0,DE2,2016,83
650,2020.0,DE3,2016,58
651,2020.0,DE4,2016,4
652,2020.0,DE5,2016,1
653,2020.0,DE6,2016,12
654,2020.0,DE7,2016,10
655,2020.0,DE8,2016,1
656,2020.0,DE9,2016,10
657,2020.0,DEA,2016,60
658,2020.0,DEB,2016,18
659,2020.0,DEC,2016,6
660,2020.0,DED,2016,52
661,2020.0,DEE,2016,4
662,2020.0,DEF,2016,3
663,2020.0,DK0,2016,35
664,2020.0,EE0,2016,1
665,2020.0,EL3,2016,11
666,2020.0,EL4,2016,6
667,2020.0,EL5,2016,2
668,2020.0,EL6,2016,3
669,2020.0,ES1,2016,8
670,2020.0,ES2,2016,3
671,2020.0,ES3,2016,27
672,2020.0,ES4,2016,2
673,2020.0,ES5,2016,16
674,2020.0,ES6,2016,22
675,2020.0,FI1,2016,8
676,2020.0,FR1,2016,70
677,2020.0,FRB,2016,2
678,2020.0,FRC,2016,2
679,2020.0,FRD,2016,5
680,2020.0,FRE,2016,1
681,2020.0,FRF,2016,5
682,2020.0,FRG,2016,5
683,2020.0,FRH,2016,1
684,2020.0,FRI,2016,1
685,2020.0,FRJ,2016,1
686,2020.0,FRK,2016,7
687,2020.0,FRL,2016,3
688,2020.0,HR0,2016,3
689,2020.0,HU1,2016,8
690,2020.0,HU3,2016,2
691,2020.0,IE0,2016,11
692,2020.0,IS0,2016,2
693,2020.0,ITC,2016,34
694,2020.0,ITF,2016,11
695,2020.0,ITG,2016,5
696,2020.0,ITH,2016,47
697,2020.0,ITI,2016,61
698,2020.0,LU0,2016,4
699,2020.0,MT0,2016,2
700,2020.0,NL1,2016,8
701,2020.0,NL2,2016,24
702,2020.0,NL3,2016,74
703,2020.0,NL4,2016,23
704,2020.0,NO0,2016,24
705,2020.0,PL2,2016,10
706,2020.0,PL4,2016,1
707,2020.0,PL5,2016,1
708,2020.0,PL7,2016,4
709,2020.0,PL9,2016,4
710,2020.0,PT1,2016,16
711,2020.0,RO2,2016,1
712,2020.0,RO3,2016,2
713,2020.0,RS1,2016,4
714,2020.0,SE1,2016,32
715,2020.0,SE2,2016,15
716,2020.0,SE3,2016,3
717,2020.0,SI0,2016,1
718,2020.0,TR1,2016,5
719,2020.0,TR2,2016,1
720,2020.0,TR3,2016,1
721,2020.0,TR4,2016,1
722,2020.0,TR5,2016,6
723,2020.0,UKC,2016,11
724,2020.0,UKD,2016,25
725,2020.0,UKE,2016,14
726,2020.0,UKF,2016,16
727,2020.0,UKG,2016,20
728,2020.0,UKH,2016,72
729,2020.0,UKI,2016,64
730,2020.0,UKJ,2016,88
731,2020.0,UKK,2016,35
732,2020.0,UKL,2016,5
733,2020.0,UKM,2016,56
734,2020.0,UKN,2016,3
735,2021.0,AT1,2016,3
736,2021.0,AT2,2016,2
737,2021.0,AT3,2016,3
738,2021.0,BE2,2016,2
739,2021.0,BE3,2016,2
740,2021.0,CH0,2016,28
741,2021.0,CY0,2016,2
742,2021.0,CZ0,2016,13
743,2021.0,DE1,2016,15
744,2021.0,DE2,2016,14
745,2021.0,DE3,2016,11
746,2021.0,DE5,2016,1
747,2021.0,DE6,2016,3
748,2021.0,DE7,2016,2
749,2021.0,DE9,2016,2
750,2021.0,DEA,2016,11
751,2021.0,DEB,2016,9
752,2021.0,DEC,2016,1
753,2021.0,DED,2016,9
754,2021.0,DEF,2016,1
755,2021.0,DK0,2016,10
756,2021.0,EE0,2016,1
757,2021.0,EL3,2016,1
758,2021.0,EL4,2016,1
759,2021.0,EL5,2016,2
760,2021.0,ES2,2016,1
761,2021.0,ES3,2016,2
762,2021.0,ES5,2016,3
763,2021.0,ES6,2016,1
764,2021.0,FR1,2016,16
765,2021.0,FRH,2016,2
766,2021.0,FRK,2016,1
767,2021.0,IE0,2016,3
768,2021.0,IS0,2016,1
769,2021.0,ITC,2016,14
770,2021.0,ITF,2016,3
771,2021.0,ITG,2016,1
772,2021.0,ITH,2016,11
773,2021.0,ITI,2016,3
774,2021.0,LU0,2016,1
775,2021.0,MK0,2016,1
776,2021.0,MT0,2016,1
777,2021.0,NL2,2016,3
778,2021.0,NL3,2016,11
779,2021.0,NL4,2016,5
780,2021.0,NO0,2016,3
781,2021.0,PL7,2016,1
782,2021.0,PL9,2016,3
783,2021.0,PT1,2016,3
784,2021.0,RO3,2016,1
785,2021.0,SE1,2016,9
786,2021.0,SE2,2016,2
787,2021.0,TR5,2016,3
788,2021.0,TR6,2016,1
789,2021.0,UKC,2016,2
790,2021.0,UKD,2016,3
791,2021.0,UKE,2016,3
792,2021.0,UKF,2016,1
793,2021.0,UKG,2016,4
794,2021.0,UKH,2016,13
795,2021.0,UKI,2016,18
796,2021.0,UKJ,2016,16
797,2021.0,UKK,2016,4
798,2021.0,UKL,2016,1
799,2021.0,UKM,2016,1
