year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_emp_fte
2015,NUTS,2010,DED2,2,0.8703
2017,NUTS,2010,DED2,2,0.9496
2019,NUTS,2010,DED2,2,1.0312
2011,NUTS,2010,DED4,2,0.577
2013,NUTS,2010,DED4,2,0.5797
2015,NUTS,2010,DED4,2,0.6301
2017,NUTS,2010,DED4,2,0.6583
2019,NUTS,2010,DED4,2,0.7362
2011,NUTS,2010,DED5,2,0.2838
2013,NUTS,2010,DED5,2,0.2269
2015,NUTS,2010,DED5,2,0.2724
2017,NUTS,2010,DED5,2,0.2928
2019,NUTS,2010,DED5,2,0.2907
2011,NUTS,2010,DEE,1,0.2475
2013,NUTS,2010,DEE,1,0.2546
2015,NUTS,2010,DEE,1,0.2286
2017,NUTS,2010,DEE,1,0.2479
2019,NUTS,2010,DEE,1,0.2676
2011,NUTS,2010,DEE0,2,0.2475
2013,NUTS,2010,DEE0,2,0.2546
2015,NUTS,2010,DEE0,2,0.2286
2017,NUTS,2010,DEE0,2,0.2479
2019,NUTS,2010,DEE0,2,0.2676
2011,NUTS,2010,DEF,1,0.3568
2013,NUTS,2010,DEF,1,0.3893
2015,NUTS,2010,DEF,1,0.394
2017,NUTS,2010,DEF,1,0.417
2019,NUTS,2010,DEF,1,0.4263
2011,NUTS,2010,DEF0,2,0.3568
2013,NUTS,2010,DEF0,2,0.3893
2015,NUTS,2010,DEF0,2,0.394
2017,NUTS,2010,DEF0,2,0.417
2019,NUTS,2010,DEF0,2,0.4263
2011,NUTS,2010,DEG,1,0.4933
2013,NUTS,2010,DEG,1,0.4887
2015,NUTS,2010,DEG,1,0.5204
2017,NUTS,2010,DEG,1,0.5975
2019,NUTS,2010,DEG,1,0.6471
2011,NUTS,2010,DEG0,2,0.4933
2013,NUTS,2010,DEG0,2,0.4887
2015,NUTS,2010,DEG0,2,0.5204
2017,NUTS,2010,DEG0,2,0.5975
2019,NUTS,2010,DEG0,2,0.6471
2011,NUTS,2010,DK,0,1.4253
2012,NUTS,2010,DK,0,1.3996
2013,NUTS,2010,DK,0,1.3682
2014,NUTS,2010,DK,0,1.3738
2015,NUTS,2010,DK,0,1.4067
2016,NUTS,2010,DK,0,1.4535
2017,NUTS,2010,DK,0,1.3356
2018,NUTS,2010,DK,0,1.294
2019,NUTS,2010,DK,0,1.3528
2020,NUTS,2010,DK,0,1.3541
2011,NUTS,2010,DK0,1,1.3217
2012,NUTS,2010,DK0,1,1.3573
2013,NUTS,2010,DK0,1,1.327
2014,NUTS,2010,DK0,1,1.33
2015,NUTS,2010,DK0,1,1.3621
2016,NUTS,2010,DK0,1,1.405
2017,NUTS,2010,DK0,1,1.2923
2018,NUTS,2010,DK0,1,1.2514
