year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_act_hc_f
2011,NUTS,2010,EE,0,0.1347
2012,NUTS,2010,EE,0,0.1366
2013,NUTS,2010,EE,0,0.1366
2014,NUTS,2010,EE,0,0.1403
2015,NUTS,2010,EE,0,0.1278
2016,NUTS,2010,EE,0,0.1188
2017,NUTS,2010,EE,0,0.1212
2018,NUTS,2010,EE,0,0.1164
2019,NUTS,2010,EE,0,0.1241
2011,NUTS,2010,EL,0,0.1408
2013,NUTS,2010,EL,0,0.2052
2015,NUTS,2010,EL,0,0.3225
2017,NUTS,2010,EL,0,0.3199
2019,NUTS,2010,EL,0,0.3566
2011,NUTS,2010,EL3,1,0.1825
2011,NUTS,2010,EL30,2,0.1825
2011,NUTS,2010,EL4,1,0.1972
2011,NUTS,2010,EL41,2,0.1136
