year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_emp_fte_rse_t
2017,NUTS,2010,EU27_2020,7,0.0068
2018,NUTS,2010,EU27_2020,7,0.0071
2019,NUTS,2010,EU27_2020,7,0.0074
2020,NUTS,2010,EU27_2020,7,0.0078
2011,NUTS,2010,FI,0,0.0192
2012,NUTS,2010,FI,0,0.0166
2013,NUTS,2010,FI,0,0.0171
2014,NUTS,2010,FI,0,0.0187
2015,NUTS,2010,FI,0,0.0184
2016,NUTS,2010,FI,0,0.0194
2017,NUTS,2010,FI,0,0.0191
2018,NUTS,2010,FI,0,0.0207
2019,NUTS,2010,FI,0,0.0183
2020,NUTS,2010,FI,0,0.0191
2017,NUTS,2010,FI1,1,0.0185
2018,NUTS,2010,FI1,1,0.0199
2019,NUTS,2010,FI1,1,0.0176
2017,NUTS,2010,FI19,2,0.0132
2018,NUTS,2010,FI19,2,0.0147
2019,NUTS,2010,FI19,2,0.0156
2017,NUTS,2010,FI1B,2,0.0423
2018,NUTS,2010,FI1B,2,0.0455
2019,NUTS,2010,FI1B,2,0.0367
2017,NUTS,2010,FI1C,2,0.0048
2018,NUTS,2010,FI1C,2,0.005
2019,NUTS,2010,FI1C,2,0.0059
2017,NUTS,2010,FI1D,2,0.0009
2018,NUTS,2010,FI1D,2,0.0008
