year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_pc_act_hc
2017,NUTS,2010,EL43,2,0.8696
2019,NUTS,2010,EL43,2,0.8334
2011,NUTS,2010,EL5,1,0.2308
2013,NUTS,2010,EL5,1,0.2904
2015,NUTS,2010,EL5,1,0.4127
2017,NUTS,2010,EL5,1,0.3685
2019,NUTS,2010,EL5,1,0.4122
2011,NUTS,2010,EL51,2,0.0522
2013,NUTS,2010,EL51,2,0.1497
2015,NUTS,2010,EL51,2,0.1352
2017,NUTS,2010,EL51,2,0.1166
2019,NUTS,2010,EL51,2,0.1559
2011,NUTS,2010,EL52,2,0.245
2013,NUTS,2010,EL52,2,0.3007
2015,NUTS,2010,EL52,2,0.5109
2017,NUTS,2010,EL52,2,0.4845
2019,NUTS,2010,EL52,2,0.5335
2011,NUTS,2010,EL53,2,0.5106
2013,NUTS,2010,EL53,2,0.2451
2015,NUTS,2010,EL53,2,0.5592
2017,NUTS,2010,EL53,2,0.2953
2019,NUTS,2010,EL53,2,0.3085
2011,NUTS,2010,EL54,2,0.2429
2013,NUTS,2010,EL54,2,0.5213
2015,NUTS,2010,EL54,2,0.2323
2017,NUTS,2010,EL54,2,0.2171
2019,NUTS,2010,EL54,2,0.2685
2011,NUTS,2010,EL6,1,0.1727
2013,NUTS,2010,EL6,1,0.2255
2015,NUTS,2010,EL6,1,0.3895
2017,NUTS,2010,EL6,1,0.2088
2019,NUTS,2010,EL6,1,0.2625
2011,NUTS,2010,EL61,2,0.1707
2013,NUTS,2010,EL61,2,0.1689
2015,NUTS,2010,EL61,2,0.2462
2017,NUTS,2010,EL61,2,0.1519
2019,NUTS,2010,EL61,2,0.1615
2011,NUTS,2010,EL62,2,0.1711
2013,NUTS,2010,EL62,2,0.1776
2015,NUTS,2010,EL62,2,0.4251
2017,NUTS,2010,EL62,2,0.1604
2019,NUTS,2010,EL62,2,0.2011
2011,NUTS,2010,EL63,2,0.1153
2013,NUTS,2010,EL63,2,0.3284
2015,NUTS,2010,EL63,2,0.572
2017,NUTS,2010,EL63,2,0.3545
2019,NUTS,2010,EL63,2,0.2856
2011,NUTS,2010,EL64,2,0.1318
2013,NUTS,2010,EL64,2,0.1321
2015,NUTS,2010,EL64,2,0.2241
2017,NUTS,2010,EL64,2,0.0901
2019,NUTS,2010,EL64,2,0.1625
2011,NUTS,2010,EL65,2,0.2832
2013,NUTS,2010,EL65,2,0.2886
2015,NUTS,2010,EL65,2,0.5088
2017,NUTS,2010,EL65,2,0.2398
2019,NUTS,2010,EL65,2,0.4863
2011,NUTS,2010,ES,0,0.2499
2012,NUTS,2010,ES,0,0.242
2013,NUTS,2010,ES,0,0.2329
2014,NUTS,2010,ES,0,0.235
2015,NUTS,2010,ES,0,0.2502
2016,NUTS,2010,ES,0,0.2536
2017,NUTS,2010,ES,0,0.2593
2018,NUTS,2010,ES,0,0.2603
2019,NUTS,2010,ES,0,0.2645
2011,NUTS,2010,ES1,1,0.1723
2013,NUTS,2010,ES1,1,0.1597
2014,NUTS,2010,ES1,1,0.1666
2015,NUTS,2010,ES1,1,0.1766
2016,NUTS,2010,ES1,1,0.1832
2017,NUTS,2010,ES1,1,0.1911
2018,NUTS,2010,ES1,1,0.209
2019,NUTS,2010,ES1,1,0.2304
2013,NUTS,2010,ES11,2,0.1566
2014,NUTS,2010,ES11,2,0.1606
2015,NUTS,2010,ES11,2,0.1711
2016,NUTS,2010,ES11,2,0.1756
2017,NUTS,2010,ES11,2,0.1939
2018,NUTS,2010,ES11,2,0.2101
2019,NUTS,2010,ES11,2,0.2408
2012,NUTS,2010,ES12,2,0.1456
2013,NUTS,2010,ES12,2,0.1333
2014,NUTS,2010,ES12,2,0.1274
2015,NUTS,2010,ES12,2,0.1357
2016,NUTS,2010,ES12,2,0.1459
2017,NUTS,2010,ES12,2,0.151
2018,NUTS,2010,ES12,2,0.1581
2019,NUTS,2010,ES12,2,0.1552
2011,NUTS,2010,ES13,2,0.255
