year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_fte_t
2019,NUTS,2010,CZ04,2,642.0
2020,NUTS,2010,CZ04,2,583.0
2011,NUTS,2010,CZ05,2,3005.0
2012,NUTS,2010,CZ05,2,3073.0
2013,NUTS,2010,CZ05,2,3151.0
2014,NUTS,2010,CZ05,2,3178.0
2015,NUTS,2010,CZ05,2,3151.0
2016,NUTS,2010,CZ05,2,3086.0
2017,NUTS,2010,CZ05,2,3258.0
2018,NUTS,2010,CZ05,2,3261.0
2019,NUTS,2010,CZ05,2,3470.0
2020,NUTS,2010,CZ05,2,3547.0
2011,NUTS,2010,CZ06,2,5532.0
2012,NUTS,2010,CZ06,2,6748.0
2013,NUTS,2010,CZ06,2,6740.0
2014,NUTS,2010,CZ06,2,7776.0
2015,NUTS,2010,CZ06,2,8710.0
2016,NUTS,2010,CZ06,2,8612.0
2017,NUTS,2010,CZ06,2,8398.0
2018,NUTS,2010,CZ06,2,7918.0
2019,NUTS,2010,CZ06,2,8391.0
2020,NUTS,2010,CZ06,2,9531.0
2011,NUTS,2010,CZ07,2,2069.0
2012,NUTS,2010,CZ07,2,2460.0
2013,NUTS,2010,CZ07,2,2820.0
2014,NUTS,2010,CZ07,2,3019.0
2015,NUTS,2010,CZ07,2,3135.0
2016,NUTS,2010,CZ07,2,3216.0
2017,NUTS,2010,CZ07,2,3048.0
2018,NUTS,2010,CZ07,2,3161.0
2019,NUTS,2010,CZ07,2,3494.0
2020,NUTS,2010,CZ07,2,3311.0
2011,NUTS,2010,CZ08,2,2048.0
2012,NUTS,2010,CZ08,2,2621.0
2013,NUTS,2010,CZ08,2,1947.0
2014,NUTS,2010,CZ08,2,2135.0
2015,NUTS,2010,CZ08,2,2444.0
2016,NUTS,2010,CZ08,2,2556.0
2017,NUTS,2010,CZ08,2,2701.0
2018,NUTS,2010,CZ08,2,2877.0
2019,NUTS,2010,CZ08,2,2711.0
2020,NUTS,2010,CZ08,2,2821.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,338689.0
2012,NUTS,2010,DE,0,352419.0
2013,NUTS,2010,DE,0,354463.0
2014,NUTS,2010,DE,0,351923.0
2015,NUTS,2010,DE,0,387982.0
2016,NUTS,2010,DE,0,399605.0
2017,NUTS,2010,DE,0,419617.0
2018,NUTS,2010,DE,0,433685.0
2019,NUTS,2010,DE,0,450697.0
2020,NUTS,2010,DE,0,451859.0
2011,NUTS,2010,DE1,1,77966.0
2013,NUTS,2010,DE1,1,82130.0
2015,NUTS,2010,DE1,1,91584.0
2017,NUTS,2010,DE1,1,105717.0
2019,NUTS,2010,DE1,1,111471.0
2011,NUTS,2010,DE11,2,37431.0
2013,NUTS,2010,DE11,2,40297.0
2015,NUTS,2010,DE11,2,46167.0
2017,NUTS,2010,DE11,2,55705.0
2019,NUTS,2010,DE11,2,57480.0
2011,NUTS,2010,DE12,2,20249.0
2013,NUTS,2010,DE12,2,20590.0
2015,NUTS,2010,DE12,2,22651.0
2017,NUTS,2010,DE12,2,25834.0
2019,NUTS,2010,DE12,2,27122.0
2011,NUTS,2010,DE13,2,9167.0
2013,NUTS,2010,DE13,2,9116.0
2015,NUTS,2010,DE13,2,9692.0
2017,NUTS,2010,DE13,2,10496.0
2019,NUTS,2010,DE13,2,11562.0
2011,NUTS,2010,DE14,2,11119.0
2013,NUTS,2010,DE14,2,12126.0
2015,NUTS,2010,DE14,2,13074.0
2017,NUTS,2010,DE14,2,13681.0
2019,NUTS,2010,DE14,2,15308.0
2011,NUTS,2010,DE2,1,64141.0
2013,NUTS,2010,DE2,1,67840.0
2015,NUTS,2010,DE2,1,75822.0
2017,NUTS,2010,DE2,1,78876.0
2019,NUTS,2010,DE2,1,89118.0
2011,NUTS,2010,DE21,2,38169.0
2013,NUTS,2010,DE21,2,41531.0
2015,NUTS,2010,DE21,2,45732.0
2017,NUTS,2010,DE21,2,45169.0
2019,NUTS,2010,DE21,2,51029.0
2015,NUTS,2010,DE22,2,2406.0
2017,NUTS,2010,DE22,2,2657.0
2019,NUTS,2010,DE22,2,3162.0
2015,NUTS,2010,DE23,2,3697.0
2017,NUTS,2010,DE23,2,4572.0
2019,NUTS,2010,DE23,2,5344.0
2011,NUTS,2010,DE24,2,2774.0
2013,NUTS,2010,DE24,2,2909.0
2015,NUTS,2010,DE24,2,3126.0
2017,NUTS,2010,DE24,2,3578.0
2019,NUTS,2010,DE24,2,4779.0
2011,NUTS,2010,DE25,2,9891.0
2013,NUTS,2010,DE25,2,9240.0
2015,NUTS,2010,DE25,2,10456.0
2017,NUTS,2010,DE25,2,10657.0
2019,NUTS,2010,DE25,2,12071.0
2011,NUTS,2010,DE26,2,4927.0
2013,NUTS,2010,DE26,2,5235.0
2015,NUTS,2010,DE26,2,5293.0
2017,NUTS,2010,DE26,2,7008.0
2019,NUTS,2010,DE26,2,7216.0
2011,NUTS,2010,DE27,2,3188.0
2013,NUTS,2010,DE27,2,3898.0
2015,NUTS,2010,DE27,2,5114.0
2017,NUTS,2010,DE27,2,5235.0
2019,NUTS,2010,DE27,2,5516.0
2011,NUTS,2010,DE3,1,18994.0
2013,NUTS,2010,DE3,1,19153.0
2015,NUTS,2010,DE3,1,20596.0
2017,NUTS,2010,DE3,1,21030.0
2019,NUTS,2010,DE3,1,22595.0
2011,NUTS,2010,DE30,2,18994.0
2013,NUTS,2010,DE30,2,19153.0
2015,NUTS,2010,DE30,2,20596.0
2017,NUTS,2010,DE30,2,21030.0
2019,NUTS,2010,DE30,2,22595.0
2011,NUTS,2010,DE4,1,5331.0
2013,NUTS,2010,DE4,1,5909.0
2015,NUTS,2010,DE4,1,5932.0
2017,NUTS,2010,DE4,1,6831.0
2019,NUTS,2010,DE4,1,7135.0
2011,NUTS,2010,DE40,2,5331.0
2013,NUTS,2010,DE40,2,5909.0
2015,NUTS,2010,DE40,2,5932.0
2017,NUTS,2010,DE40,2,6831.0
2019,NUTS,2010,DE40,2,7135.0
2011,NUTS,2010,DE5,1,3813.0
2013,NUTS,2010,DE5,1,4151.0
2015,NUTS,2010,DE5,1,4419.0
2017,NUTS,2010,DE5,1,4396.0
2019,NUTS,2010,DE5,1,4914.0
2011,NUTS,2010,DE50,2,3813.0
2013,NUTS,2010,DE50,2,4151.0
2015,NUTS,2010,DE50,2,4419.0
2017,NUTS,2010,DE50,2,4396.0
2019,NUTS,2010,DE50,2,4914.0
2011,NUTS,2010,DE6,1,7062.0
2013,NUTS,2010,DE6,1,8822.0
2015,NUTS,2010,DE6,1,9041.0
2017,NUTS,2010,DE6,1,10415.0
2019,NUTS,2010,DE6,1,11121.0
2011,NUTS,2010,DE60,2,7062.0
2013,NUTS,2010,DE60,2,8822.0
2015,NUTS,2010,DE60,2,9041.0
2017,NUTS,2010,DE60,2,10415.0
2019,NUTS,2010,DE60,2,11121.0
2011,NUTS,2010,DE7,1,24491.0
2013,NUTS,2010,DE7,1,24161.0
2015,NUTS,2010,DE7,1,28854.0
2017,NUTS,2010,DE7,1,30754.0
2019,NUTS,2010,DE7,1,31896.0
2011,NUTS,2010,DE71,2,19309.0
2013,NUTS,2010,DE71,2,18317.0
2015,NUTS,2010,DE71,2,22114.0
2017,NUTS,2010,DE71,2,23598.0
2019,NUTS,2010,DE71,2,24713.0
2011,NUTS,2010,DE72,2,3428.0
2013,NUTS,2010,DE72,2,3728.0
2015,NUTS,2010,DE72,2,3837.0
2017,NUTS,2010,DE72,2,4146.0
2019,NUTS,2010,DE72,2,4269.0
2011,NUTS,2010,DE73,2,1753.0
2013,NUTS,2010,DE73,2,2117.0
2015,NUTS,2010,DE73,2,2904.0
2017,NUTS,2010,DE73,2,3010.0
2019,NUTS,2010,DE73,2,2914.0
2011,NUTS,2010,DE8,1,3891.0
2013,NUTS,2010,DE8,1,3426.0
2015,NUTS,2010,DE8,1,3320.0
2017,NUTS,2010,DE8,1,3673.0
