year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_hc_t
2011,NUTS,2010,DE50,2,7183.0
2013,NUTS,2010,DE50,2,6154.0
2015,NUTS,2010,DE50,2,6427.0
2017,NUTS,2010,DE50,2,6401.0
2019,NUTS,2010,DE50,2,7055.0
2011,NUTS,2010,DE6,1,12442.0
2013,NUTS,2010,DE6,1,14662.0
2015,NUTS,2010,DE6,1,14990.0
2017,NUTS,2010,DE6,1,16774.0
2019,NUTS,2010,DE6,1,18042.0
2011,NUTS,2010,DE60,2,12442.0
2013,NUTS,2010,DE60,2,14662.0
2015,NUTS,2010,DE60,2,14990.0
2017,NUTS,2010,DE60,2,16774.0
2019,NUTS,2010,DE60,2,18042.0
2011,NUTS,2010,DE7,1,38106.0
2013,NUTS,2010,DE7,1,37628.0
2015,NUTS,2010,DE7,1,42839.0
2017,NUTS,2010,DE7,1,44443.0
2019,NUTS,2010,DE7,1,46275.0
2011,NUTS,2010,DE71,2,26596.0
2013,NUTS,2010,DE71,2,25316.0
2015,NUTS,2010,DE71,2,29583.0
2017,NUTS,2010,DE71,2,31169.0
2019,NUTS,2010,DE71,2,32685.0
2011,NUTS,2010,DE72,2,7943.0
2013,NUTS,2010,DE72,2,8357.0
2015,NUTS,2010,DE72,2,8437.0
2017,NUTS,2010,DE72,2,8584.0
2019,NUTS,2010,DE72,2,8940.0
2011,NUTS,2010,DE73,2,3566.0
2013,NUTS,2010,DE73,2,3955.0
2015,NUTS,2010,DE73,2,4819.0
2017,NUTS,2010,DE73,2,4689.0
2019,NUTS,2010,DE73,2,4650.0
2011,NUTS,2010,DE8,1,7944.0
2013,NUTS,2010,DE8,1,7745.0
2015,NUTS,2010,DE8,1,7452.0
2017,NUTS,2010,DE8,1,7917.0
2019,NUTS,2010,DE8,1,8218.0
2011,NUTS,2010,DE80,2,7944.0
2013,NUTS,2010,DE80,2,7745.0
2015,NUTS,2010,DE80,2,7452.0
2017,NUTS,2010,DE80,2,7917.0
2019,NUTS,2010,DE80,2,8218.0
2011,NUTS,2010,DE9,1,39053.0
2013,NUTS,2010,DE9,1,42061.0
2015,NUTS,2010,DE9,1,43326.0
2017,NUTS,2010,DE9,1,45085.0
2019,NUTS,2010,DE9,1,47759.0
2011,NUTS,2010,DE91,2,19328.0
2013,NUTS,2010,DE91,2,20945.0
2015,NUTS,2010,DE91,2,21122.0
2017,NUTS,2010,DE91,2,22077.0
2019,NUTS,2010,DE91,2,23091.0
2011,NUTS,2010,DE92,2,12222.0
2013,NUTS,2010,DE92,2,12334.0
2015,NUTS,2010,DE92,2,13044.0
2017,NUTS,2010,DE92,2,12971.0
2019,NUTS,2010,DE92,2,13828.0
2011,NUTS,2010,DE93,2,2064.0
2013,NUTS,2010,DE93,2,2511.0
2015,NUTS,2010,DE93,2,2349.0
2017,NUTS,2010,DE93,2,2540.0
2019,NUTS,2010,DE93,2,2605.0
2011,NUTS,2010,DE94,2,5438.0
2013,NUTS,2010,DE94,2,6271.0
2015,NUTS,2010,DE94,2,6812.0
2017,NUTS,2010,DE94,2,7497.0
2019,NUTS,2010,DE94,2,8234.0
2011,NUTS,2010,DEA,1,88217.0
2013,NUTS,2010,DEA,1,94295.0
2015,NUTS,2010,DEA,1,101413.0
2017,NUTS,2010,DEA,1,108651.0
2019,NUTS,2010,DEA,1,115219.0
2011,NUTS,2010,DEA1,2,19953.0
2013,NUTS,2010,DEA1,2,20793.0
2015,NUTS,2010,DEA1,2,23813.0
2017,NUTS,2010,DEA1,2,25283.0
2019,NUTS,2010,DEA1,2,26573.0
2011,NUTS,2010,DEA2,2,35742.0
2013,NUTS,2010,DEA2,2,37335.0
2015,NUTS,2010,DEA2,2,39766.0
2017,NUTS,2010,DEA2,2,42400.0
2019,NUTS,2010,DEA2,2,44950.0
2011,NUTS,2010,DEA3,2,8486.0
2013,NUTS,2010,DEA3,2,9444.0
2015,NUTS,2010,DEA3,2,9458.0
2017,NUTS,2010,DEA3,2,9795.0
2019,NUTS,2010,DEA3,2,10717.0
2011,NUTS,2010,DEA4,2,9140.0
2013,NUTS,2010,DEA4,2,10424.0
2015,NUTS,2010,DEA4,2,10866.0
2017,NUTS,2010,DEA4,2,12075.0
2019,NUTS,2010,DEA4,2,13172.0
2011,NUTS,2010,DEA5,2,14897.0
2013,NUTS,2010,DEA5,2,16299.0
2015,NUTS,2010,DEA5,2,17510.0
2017,NUTS,2010,DEA5,2,19099.0
2019,NUTS,2010,DEA5,2,19807.0
2011,NUTS,2010,DEB,1,16419.0
2013,NUTS,2010,DEB,1,17249.0
2015,NUTS,2010,DEB,1,18674.0
2017,NUTS,2010,DEB,1,19482.0
2019,NUTS,2010,DEB,1,21915.0
2011,NUTS,2010,DEB1,2,2498.0
2013,NUTS,2010,DEB1,2,2521.0
2015,NUTS,2010,DEB1,2,2397.0
2017,NUTS,2010,DEB1,2,2718.0
2019,NUTS,2010,DEB1,2,3371.0
2011,NUTS,2010,DEB2,2,1715.0
2013,NUTS,2010,DEB2,2,1700.0
2015,NUTS,2010,DEB2,2,1624.0
2017,NUTS,2010,DEB2,2,1603.0
2019,NUTS,2010,DEB2,2,1608.0
2011,NUTS,2010,DEB3,2,12206.0
2013,NUTS,2010,DEB3,2,13028.0
2015,NUTS,2010,DEB3,2,14652.0
2017,NUTS,2010,DEB3,2,15161.0
2019,NUTS,2010,DEB3,2,16936.0
2011,NUTS,2010,DEC,1,4783.0
2013,NUTS,2010,DEC,1,5316.0
2015,NUTS,2010,DEC,1,5376.0
2017,NUTS,2010,DEC,1,6008.0
2019,NUTS,2010,DEC,1,6411.0
2011,NUTS,2010,DEC0,2,4783.0
2013,NUTS,2010,DEC0,2,5316.0
2015,NUTS,2010,DEC0,2,5376.0
2017,NUTS,2010,DEC0,2,6008.0
2019,NUTS,2010,DEC0,2,6411.0
2011,NUTS,2010,DED,1,28075.0
2013,NUTS,2010,DED,1,29968.0
2015,NUTS,2010,DED,1,29777.0
2017,NUTS,2010,DED,1,31381.0
2019,NUTS,2010,DED,1,34035.0
2011,NUTS,2010,DED2,2,10958.0
2013,NUTS,2010,DED2,2,9303.0
2015,NUTS,2010,DED2,2,14496.0
2017,NUTS,2010,DED2,2,15445.0
2019,NUTS,2010,DED2,2,16589.0
2011,NUTS,2010,DED4,2,10163.0
2013,NUTS,2010,DED4,2,13065.0
2015,NUTS,2010,DED4,2,7264.0
2017,NUTS,2010,DED4,2,7558.0
2019,NUTS,2010,DED4,2,8337.0
2011,NUTS,2010,DED5,2,6954.0
2013,NUTS,2010,DED5,2,7600.0
2015,NUTS,2010,DED5,2,8016.0
2017,NUTS,2010,DED5,2,8378.0
2019,NUTS,2010,DED5,2,9108.0
2011,NUTS,2010,DEE,1,8941.0
2013,NUTS,2010,DEE,1,9576.0
2015,NUTS,2010,DEE,1,9279.0
2017,NUTS,2010,DEE,1,9234.0
2019,NUTS,2010,DEE,1,10019.0
2011,NUTS,2010,DEE0,2,8941.0
2013,NUTS,2010,DEE0,2,9576.0
2015,NUTS,2010,DEE0,2,9279.0
2017,NUTS,2010,DEE0,2,9234.0
2019,NUTS,2010,DEE0,2,10019.0
2011,NUTS,2010,DEF,1,9741.0
2013,NUTS,2010,DEF,1,10472.0
2015,NUTS,2010,DEF,1,10780.0
2017,NUTS,2010,DEF,1,11612.0
2019,NUTS,2010,DEF,1,11975.0
2011,NUTS,2010,DEF0,2,9741.0
2013,NUTS,2010,DEF0,2,10472.0
2015,NUTS,2010,DEF0,2,10780.0
2017,NUTS,2010,DEF0,2,11612.0
2019,NUTS,2010,DEF0,2,11975.0
2011,NUTS,2010,DEG,1,12342.0
2013,NUTS,2010,DEG,1,12439.0
2015,NUTS,2010,DEG,1,12186.0
2017,NUTS,2010,DEG,1,12763.0
2019,NUTS,2010,DEG,1,13662.0
2011,NUTS,2010,DEG0,2,12342.0
2013,NUTS,2010,DEG0,2,12439.0
