year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_fte_t
2015,NUTS,2010,DE3,1,8616.0
2016,NUTS,2010,DE3,1,8844.0
2017,NUTS,2010,DE3,1,8655.0
2018,NUTS,2010,DE3,1,8553.0
2019,NUTS,2010,DE3,1,8716.0
2011,NUTS,2010,DE30,2,7984.0
2012,NUTS,2010,DE30,2,8507.0
2013,NUTS,2010,DE30,2,8099.0
2014,NUTS,2010,DE30,2,8414.0
2015,NUTS,2010,DE30,2,8616.0
2016,NUTS,2010,DE30,2,8844.0
2017,NUTS,2010,DE30,2,8655.0
2018,NUTS,2010,DE30,2,8553.0
2019,NUTS,2010,DE30,2,8716.0
2011,NUTS,2010,DE4,1,1920.0
2012,NUTS,2010,DE4,1,1980.0
2013,NUTS,2010,DE4,1,2054.0
2014,NUTS,2010,DE4,1,2038.0
2015,NUTS,2010,DE4,1,2010.0
2016,NUTS,2010,DE4,1,2203.0
2017,NUTS,2010,DE4,1,2321.0
2018,NUTS,2010,DE4,1,2393.0
2019,NUTS,2010,DE4,1,2406.0
2011,NUTS,2010,DE40,2,1920.0
2012,NUTS,2010,DE40,2,1980.0
2013,NUTS,2010,DE40,2,2054.0
2014,NUTS,2010,DE40,2,2038.0
2015,NUTS,2010,DE40,2,2010.0
2016,NUTS,2010,DE40,2,2203.0
2017,NUTS,2010,DE40,2,2321.0
2018,NUTS,2010,DE40,2,2393.0
2019,NUTS,2010,DE40,2,2406.0
2011,NUTS,2010,DE5,1,1801.0
2012,NUTS,2010,DE5,1,1732.0
2013,NUTS,2010,DE5,1,1803.0
2014,NUTS,2010,DE5,1,1852.0
2015,NUTS,2010,DE5,1,1823.0
2016,NUTS,2010,DE5,1,1920.0
2017,NUTS,2010,DE5,1,1918.0
2018,NUTS,2010,DE5,1,1901.0
2019,NUTS,2010,DE5,1,1887.0
2011,NUTS,2010,DE50,2,1801.0
2012,NUTS,2010,DE50,2,1732.0
2013,NUTS,2010,DE50,2,1803.0
2014,NUTS,2010,DE50,2,1852.0
2015,NUTS,2010,DE50,2,1823.0
2016,NUTS,2010,DE50,2,1920.0
2017,NUTS,2010,DE50,2,1918.0
2018,NUTS,2010,DE50,2,1901.0
2019,NUTS,2010,DE50,2,1887.0
2011,NUTS,2010,DE6,1,3519.0
2012,NUTS,2010,DE6,1,3537.0
2013,NUTS,2010,DE6,1,3798.0
