year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2019,NUTS,2010,DE12,2,3558.684
2011,NUTS,2010,DE13,2,1093.736
2013,NUTS,2010,DE13,2,1037.468
2015,NUTS,2010,DE13,2,1081.289
2017,NUTS,2010,DE13,2,1165.998
2019,NUTS,2010,DE13,2,1251.317
2011,NUTS,2010,DE14,2,2043.849
2013,NUTS,2010,DE14,2,2111.012
2015,NUTS,2010,DE14,2,2123.148
2017,NUTS,2010,DE14,2,2370.093
2019,NUTS,2010,DE14,2,2689.342
2011,NUTS,2010,DE2,1,9670.31
2013,NUTS,2010,DE2,1,10306.515
2015,NUTS,2010,DE2,1,10928.642
2017,NUTS,2010,DE2,1,11276.853
2019,NUTS,2010,DE2,1,12687.268
2011,NUTS,2010,DE21,2,5801.87
2013,NUTS,2010,DE21,2,6306.721
2015,NUTS,2010,DE21,2,6610.195
2017,NUTS,2010,DE21,2,6303.705
2019,NUTS,2010,DE21,2,7196.315
2011,NUTS,2010,DE22,2,292.782
2013,NUTS,2010,DE22,2,363.479
2015,NUTS,2010,DE22,2,407.713
2017,NUTS,2010,DE22,2,447.151
2019,NUTS,2010,DE22,2,545.297
2011,NUTS,2010,DE23,2,648.898
2013,NUTS,2010,DE23,2,483.252
2015,NUTS,2010,DE23,2,534.591
2017,NUTS,2010,DE23,2,714.551
2019,NUTS,2010,DE23,2,803.463
2011,NUTS,2010,DE24,2,358.84
2013,NUTS,2010,DE24,2,371.628
2015,NUTS,2010,DE24,2,408.367
2017,NUTS,2010,DE24,2,481.193
2019,NUTS,2010,DE24,2,623.098
2011,NUTS,2010,DE25,2,1376.767
2013,NUTS,2010,DE25,2,1537.187
2015,NUTS,2010,DE25,2,1603.037
2017,NUTS,2010,DE25,2,1604.003
2019,NUTS,2010,DE25,2,1760.77
2011,NUTS,2010,DE26,2,619.646
2013,NUTS,2010,DE26,2,655.824
2015,NUTS,2010,DE26,2,584.246
2017,NUTS,2010,DE26,2,910.846
2019,NUTS,2010,DE26,2,920.623
2011,NUTS,2010,DE27,2,570.893
2013,NUTS,2010,DE27,2,588.425
2015,NUTS,2010,DE27,2,780.495
2017,NUTS,2010,DE27,2,815.324
2019,NUTS,2010,DE27,2,837.702
2011,NUTS,2010,DE3,1,1231.299
