year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2011,NUTS,2010,SI02,2,2.065
2011,NUTS,2010,SK,0,1.026
2012,NUTS,2010,SK,0,0.739
2011,NUTS,2010,SK0,1,0.56
2012,NUTS,2010,SK0,1,0.739
2012,NUTS,2010,SK01,2,2.957
2011,NUTS,2010,SK02,2,1.615
2012,NUTS,2010,SK02,2,1.07
2011,NUTS,2010,TR,0,0.164
2012,NUTS,2010,TR,0,0.13
2011,NUTS,2010,TR1,1,0.352
2011,NUTS,2010,TR10,2,0.352
2011,NUTS,2010,TR4,1,0.374
2012,NUTS,2010,TR4,1,0.362
2011,NUTS,2010,TR42,2,0.74
2012,NUTS,2010,TR42,2,0.727
2011,NUTS,2010,TR5,1,0.538
2012,NUTS,2010,TR5,1,0.396
2011,NUTS,2010,TR51,2,0.788
2012,NUTS,2010,TR51,2,0.572
2012,NUTS,2010,TR6,1,0.143
2012,NUTS,2010,TR61,2,0.431
2011,NUTS,2010,UK,0,4.272
2012,NUTS,2010,UK,0,3.446
2011,NUTS,2010,UKC,1,4.006
2012,NUTS,2010,UKC,1,2.618
2011,NUTS,2010,UKC1,2,8.055
2012,NUTS,2010,UKC1,2,4.167
2011,NUTS,2010,UKC2,2,0.695
2012,NUTS,2010,UKC2,2,1.409
2011,NUTS,2010,UKD,1,2.344
2012,NUTS,2010,UKD,1,2.51
2011,NUTS,2010,UKD3,2,4.765
2012,NUTS,2010,UKD3,2,6.029
2011,NUTS,2010,UKD4,2,0.551
2012,NUTS,2010,UKD4,2,0.697
2011,NUTS,2010,UKD6,2,0.765
2012,NUTS,2010,UKD6,2,0.436
2011,NUTS,2010,UKD7,2,1.408
2011,NUTS,2010,UKE,1,2.535
2012,NUTS,2010,UKE,1,1.022
2011,NUTS,2010,UKE2,2,5.812
2012,NUTS,2010,UKE2,2,6.027
2011,NUTS,2010,UKE3,2,3.45
2011,NUTS,2010,UKE4,2,1.859
2012,NUTS,2010,UKE4,2,0.181
