year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_f
2018,NUTS,2010,ES30,2,0.746
2019,NUTS,2010,ES30,2,0.7607
2011,NUTS,2010,ES4,1,0.3077
2012,NUTS,2010,ES4,1,0.3157
2013,NUTS,2010,ES4,1,0.2726
2014,NUTS,2010,ES4,1,0.2681
2015,NUTS,2010,ES4,1,0.2662
2016,NUTS,2010,ES4,1,0.2584
2017,NUTS,2010,ES4,1,0.2805
2018,NUTS,2010,ES4,1,0.3017
2019,NUTS,2010,ES4,1,0.3129
2011,NUTS,2010,ES41,2,0.4445
2012,NUTS,2010,ES41,2,0.4432
2013,NUTS,2010,ES41,2,0.3513
2014,NUTS,2010,ES41,2,0.3489
2015,NUTS,2010,ES41,2,0.3376
2016,NUTS,2010,ES41,2,0.3161
2017,NUTS,2010,ES41,2,0.3485
2018,NUTS,2010,ES41,2,0.4012
2019,NUTS,2010,ES41,2,0.4283
2011,NUTS,2010,ES42,2,0.1992
2012,NUTS,2010,ES42,2,0.2061
2013,NUTS,2010,ES42,2,0.1875
2014,NUTS,2010,ES42,2,0.2018
2015,NUTS,2010,ES42,2,0.2118
2016,NUTS,2010,ES42,2,0.2273
2017,NUTS,2010,ES42,2,0.2306
2018,NUTS,2010,ES42,2,0.2142
2019,NUTS,2010,ES42,2,0.2144
2011,NUTS,2010,ES43,2,0.1495
2012,NUTS,2010,ES43,2,0.1752
