year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_emp_fte_f
2013,NUTS,2010,ITC2,2,0.049
2014,NUTS,2010,ITC2,2,0.0258
2015,NUTS,2010,ITC2,2,0.0312
2016,NUTS,2010,ITC2,2,0.0242
2017,NUTS,2010,ITC2,2,0.0263
2018,NUTS,2010,ITC2,2,0.0326
2019,NUTS,2010,ITC2,2,0.0533
2011,NUTS,2010,ITC3,2,0.0194
2012,NUTS,2010,ITC3,2,0.0189
2013,NUTS,2010,ITC3,2,0.0195
2014,NUTS,2010,ITC3,2,0.0172
2015,NUTS,2010,ITC3,2,0.0195
2016,NUTS,2010,ITC3,2,0.0198
2017,NUTS,2010,ITC3,2,0.0174
2018,NUTS,2010,ITC3,2,0.0182
2019,NUTS,2010,ITC3,2,0.0297
2011,NUTS,2010,ITC4,2,0.0474
2012,NUTS,2010,ITC4,2,0.0454
2013,NUTS,2010,ITC4,2,0.0493
2014,NUTS,2010,ITC4,2,0.0427
2015,NUTS,2010,ITC4,2,0.0475
2016,NUTS,2010,ITC4,2,0.054
2017,NUTS,2010,ITC4,2,0.035
2018,NUTS,2010,ITC4,2,0.0348
2019,NUTS,2010,ITC4,2,0.0387
2011,NUTS,2010,ITF,1,0.0074
2012,NUTS,2010,ITF,1,0.007
2013,NUTS,2010,ITF,1,0.0074
2014,NUTS,2010,ITF,1,0.0142
2017,NUTS,2010,ITF,1,0.0112
2018,NUTS,2010,ITF,1,0.0117
2019,NUTS,2010,ITF,1,0.0122
2011,NUTS,2010,ITF1,2,0.0021
2012,NUTS,2010,ITF1,2,0.0022
2013,NUTS,2010,ITF1,2,0.0037
2014,NUTS,2010,ITF1,2,0.0022
2015,NUTS,2010,ITF1,2,0.0032
2016,NUTS,2010,ITF1,2,0.006
2017,NUTS,2010,ITF1,2,0.007
2018,NUTS,2010,ITF1,2,0.0049
2019,NUTS,2010,ITF1,2,0.007
2017,NUTS,2010,ITF2,2,0.0026
2018,NUTS,2010,ITF2,2,0.006
2019,NUTS,2010,ITF2,2,0.0002
2011,NUTS,2010,ITF3,2,0.011
2012,NUTS,2010,ITF3,2,0.0102
2013,NUTS,2010,ITF3,2,0.0095
2014,NUTS,2010,ITF3,2,0.0224
2015,NUTS,2010,ITF3,2,0.0214
2016,NUTS,2010,ITF3,2,0.0183
2017,NUTS,2010,ITF3,2,0.0151
2018,NUTS,2010,ITF3,2,0.0134
2019,NUTS,2010,ITF3,2,0.0138
2011,NUTS,2010,ITF4,2,0.0104
2012,NUTS,2010,ITF4,2,0.0094
2013,NUTS,2010,ITF4,2,0.011
2014,NUTS,2010,ITF4,2,0.0191
2015,NUTS,2010,ITF4,2,0.0178
2016,NUTS,2010,ITF4,2,0.0195
2017,NUTS,2010,ITF4,2,0.0151
2018,NUTS,2010,ITF4,2,0.0197
2019,NUTS,2010,ITF4,2,0.0203
2012,NUTS,2010,ITF5,2,0.0041
2013,NUTS,2010,ITF5,2,0.0038
2015,NUTS,2010,ITF5,2,0.0029
2017,NUTS,2010,ITF5,2,0.003
2018,NUTS,2010,ITF5,2,0.0025
2019,NUTS,2010,ITF5,2,0.003
2011,NUTS,2010,ITF6,2,0.0007
2015,NUTS,2010,ITF6,2,0.0005
2016,NUTS,2010,ITF6,2,0.0009
2017,NUTS,2010,ITF6,2,0.0
2018,NUTS,2010,ITF6,2,0.0003
2019,NUTS,2010,ITF6,2,0.0005
2011,NUTS,2010,ITG,1,0.007
2012,NUTS,2010,ITG,1,0.0071
2013,NUTS,2010,ITG,1,0.0093
2014,NUTS,2010,ITG,1,0.0067
2015,NUTS,2010,ITG,1,0.0085
2016,NUTS,2010,ITG,1,0.0091
2017,NUTS,2010,ITG,1,0.0095
2018,NUTS,2010,ITG,1,0.0065
2019,NUTS,2010,ITG,1,0.0079
2011,NUTS,2010,ITG1,2,0.0096
2012,NUTS,2010,ITG1,2,0.0102
2013,NUTS,2010,ITG1,2,0.0128
2014,NUTS,2010,ITG1,2,0.0089
2015,NUTS,2010,ITG1,2,0.0113
