year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_p_mact
2011,NUTS,2010,PL41,2,12.29
2012,NUTS,2010,PL41,2,19.356
2011,NUTS,2010,PL42,2,18.251
2012,NUTS,2010,PL42,2,21.387
2011,NUTS,2010,PL43,2,30.159
2012,NUTS,2010,PL43,2,36.519
2011,NUTS,2010,PL5,1,20.361
2012,NUTS,2010,PL5,1,25.069
2011,NUTS,2010,PL51,2,26.669
2012,NUTS,2010,PL51,2,26.452
2011,NUTS,2010,PL52,2,0.833
2012,NUTS,2010,PL52,2,20.823
2011,NUTS,2010,PL6,1,16.259
2012,NUTS,2010,PL6,1,13.978
2011,NUTS,2010,PL61,2,11.79
2012,NUTS,2010,PL61,2,13.982
2011,NUTS,2010,PL62,2,4.491
2012,NUTS,2010,PL62,2,5.574
2011,NUTS,2010,PL63,2,28.445
2012,NUTS,2010,PL63,2,19.006
2011,NUTS,2010,PT,0,21.743
2012,NUTS,2010,PT,0,16.925
2011,NUTS,2010,PT1,1,21.522
2012,NUTS,2010,PT1,1,16.732
2011,NUTS,2010,PT11,2,16.983
2012,NUTS,2010,PT11,2,13.897
2011,NUTS,2010,PT15,2,6.391
2012,NUTS,2010,PT15,2,7.22
2011,NUTS,2010,PT16,2,18.018
2012,NUTS,2010,PT16,2,22.511
2011,NUTS,2010,PT17,2,31.928
2012,NUTS,2010,PT17,2,17.338
2011,NUTS,2010,PT18,2,26.297
2012,NUTS,2010,PT18,2,16.227
2011,NUTS,2010,PT3,1,7.331
2011,NUTS,2010,PT30,2,7.331
2011,NUTS,2010,RO,0,6.597
2012,NUTS,2010,RO,0,6.535
2011,NUTS,2010,RO1,1,4.915
2012,NUTS,2010,RO1,1,3.744
2011,NUTS,2010,RO11,2,6.13
2012,NUTS,2010,RO11,2,3.304
2011,NUTS,2010,RO12,2,3.434
2012,NUTS,2010,RO12,2,4.293
2011,NUTS,2010,RO2,1,1.48
2012,NUTS,2010,RO2,1,2.632
2011,NUTS,2010,RO21,2,1.874
2012,NUTS,2010,RO21,2,3.093
2011,NUTS,2010,RO22,2,0.909
2012,NUTS,2010,RO22,2,1.966
2011,NUTS,2010,RO3,1,12.785
2012,NUTS,2010,RO3,1,14.608
2011,NUTS,2010,RO31,2,1.439
2012,NUTS,2010,RO31,2,3.592
2011,NUTS,2010,RO32,2,26.644
2012,NUTS,2010,RO32,2,28.376
2011,NUTS,2010,RO4,1,6.818
2012,NUTS,2010,RO4,1,3.735
2011,NUTS,2010,RO41,2,0.859
2012,NUTS,2010,RO41,2,0.666
