year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2012,NUTS,2010,ES21,2,2.1567
2013,NUTS,2010,ES21,2,2.1577
2014,NUTS,2010,ES21,2,2.1569
2015,NUTS,2010,ES21,2,2.2518
2016,NUTS,2010,ES21,2,2.2098
2017,NUTS,2010,ES21,2,2.3357
2018,NUTS,2010,ES21,2,2.4132
2019,NUTS,2010,ES21,2,2.41
2011,NUTS,2010,ES22,2,1.9489
2012,NUTS,2010,ES22,2,1.7799
2013,NUTS,2010,ES22,2,1.764
2014,NUTS,2010,ES22,2,1.75
2015,NUTS,2010,ES22,2,1.7754
2016,NUTS,2010,ES22,2,1.8181
2017,NUTS,2010,ES22,2,1.9116
2018,NUTS,2010,ES22,2,1.9425
2019,NUTS,2010,ES22,2,1.8939
2011,NUTS,2010,ES23,2,1.3115
2012,NUTS,2010,ES23,2,1.3552
2013,NUTS,2010,ES23,2,1.2797
2014,NUTS,2010,ES23,2,1.3713
2015,NUTS,2010,ES23,2,1.3834
2016,NUTS,2010,ES23,2,1.4723
2017,NUTS,2010,ES23,2,1.4773
2018,NUTS,2010,ES23,2,1.4848
2019,NUTS,2010,ES23,2,1.4681
2011,NUTS,2010,ES24,2,1.3432
2012,NUTS,2010,ES24,2,1.3083
2013,NUTS,2010,ES24,2,1.2832
2014,NUTS,2010,ES24,2,1.3326
2015,NUTS,2010,ES24,2,1.3542
2016,NUTS,2010,ES24,2,1.3332
2017,NUTS,2010,ES24,2,1.3731
2018,NUTS,2010,ES24,2,1.4453
2019,NUTS,2010,ES24,2,1.4312
2011,NUTS,2010,ES3,1,2.0528
2012,NUTS,2010,ES3,1,1.853
2013,NUTS,2010,ES3,1,1.8355
2014,NUTS,2010,ES3,1,1.876
2015,NUTS,2010,ES3,1,1.9058
2016,NUTS,2010,ES3,1,1.8902
2017,NUTS,2010,ES3,1,1.9403
2018,NUTS,2010,ES3,1,2.0216
2019,NUTS,2010,ES3,1,2.0684
2011,NUTS,2010,ES30,2,2.0528
2012,NUTS,2010,ES30,2,1.853
2013,NUTS,2010,ES30,2,1.8355
2014,NUTS,2010,ES30,2,1.876
2015,NUTS,2010,ES30,2,1.9058
2016,NUTS,2010,ES30,2,1.8902
2017,NUTS,2010,ES30,2,1.9403
2018,NUTS,2010,ES30,2,2.0216
2019,NUTS,2010,ES30,2,2.0684
2011,NUTS,2010,ES4,1,1.109
2012,NUTS,2010,ES4,1,1.029
2013,NUTS,2010,ES4,1,0.8854
2014,NUTS,2010,ES4,1,0.8883
2015,NUTS,2010,ES4,1,0.9438
2016,NUTS,2010,ES4,1,0.946
2017,NUTS,2010,ES4,1,0.991
2018,NUTS,2010,ES4,1,1.0645
2019,NUTS,2010,ES4,1,1.0733
2011,NUTS,2010,ES41,2,1.5171
2012,NUTS,2010,ES41,2,1.4357
2013,NUTS,2010,ES41,2,1.3084
2014,NUTS,2010,ES41,2,1.3332
2015,NUTS,2010,ES41,2,1.3806
2016,NUTS,2010,ES41,2,1.3678
2017,NUTS,2010,ES41,2,1.4284
2018,NUTS,2010,ES41,2,1.5589
2019,NUTS,2010,ES41,2,1.6087
2011,NUTS,2010,ES42,2,0.8025
2012,NUTS,2010,ES42,2,0.7128
2013,NUTS,2010,ES42,2,0.4875
2014,NUTS,2010,ES42,2,0.4947
2015,NUTS,2010,ES42,2,0.5807
2016,NUTS,2010,ES42,2,0.6127
2017,NUTS,2010,ES42,2,0.6311
2018,NUTS,2010,ES42,2,0.6649
2019,NUTS,2010,ES42,2,0.6691
2011,NUTS,2010,ES43,2,0.7203
2012,NUTS,2010,ES43,2,0.686
2013,NUTS,2010,ES43,2,0.6708
2014,NUTS,2010,ES43,2,0.6085
2015,NUTS,2010,ES43,2,0.626
2016,NUTS,2010,ES43,2,0.6002
2017,NUTS,2010,ES43,2,0.6702
2018,NUTS,2010,ES43,2,0.7043
2019,NUTS,2010,ES43,2,0.6321
2011,NUTS,2010,ES5,1,1.3552
2012,NUTS,2010,ES5,1,1.3373
2013,NUTS,2010,ES5,1,1.3286
2014,NUTS,2010,ES5,1,1.3499
2015,NUTS,2010,ES5,1,1.3627
2016,NUTS,2010,ES5,1,1.3905
2017,NUTS,2010,ES5,1,1.4613
2018,NUTS,2010,ES5,1,1.5103
2019,NUTS,2010,ES5,1,1.5517
2011,NUTS,2010,ES51,2,1.5555
2012,NUTS,2010,ES51,2,1.5625
2013,NUTS,2010,ES51,2,1.5737
2014,NUTS,2010,ES51,2,1.5502
2015,NUTS,2010,ES51,2,1.5921
2016,NUTS,2010,ES51,2,1.6167
2017,NUTS,2010,ES51,2,1.6942
2018,NUTS,2010,ES51,2,1.7661
2019,NUTS,2010,ES51,2,1.7853
2011,NUTS,2010,ES52,2,1.2064
2012,NUTS,2010,ES52,2,1.1647
2013,NUTS,2010,ES52,2,1.1286
2014,NUTS,2010,ES52,2,1.2207
2015,NUTS,2010,ES52,2,1.1944
2016,NUTS,2010,ES52,2,1.235
2017,NUTS,2010,ES52,2,1.2931
2018,NUTS,2010,ES52,2,1.3265
2019,NUTS,2010,ES52,2,1.4038
2011,NUTS,2010,ES53,2,0.627
2012,NUTS,2010,ES53,2,0.572
2013,NUTS,2010,ES53,2,0.5457
2014,NUTS,2010,ES53,2,0.5661
2015,NUTS,2010,ES53,2,0.5922
2016,NUTS,2010,ES53,2,0.5852
2017,NUTS,2010,ES53,2,0.6408
2018,NUTS,2010,ES53,2,0.6337
2019,NUTS,2010,ES53,2,0.6654
2011,NUTS,2010,ES6,1,0.9518
2012,NUTS,2010,ES6,1,0.9004
2013,NUTS,2010,ES6,1,0.8956
2014,NUTS,2010,ES6,1,0.8938
2015,NUTS,2010,ES6,1,0.9566
2016,NUTS,2010,ES6,1,0.9681
2017,NUTS,2010,ES6,1,1.0257
2018,NUTS,2010,ES6,1,1.0572
2019,NUTS,2010,ES6,1,1.0687
2011,NUTS,2010,ES61,2,0.9639
2012,NUTS,2010,ES61,2,0.9058
2013,NUTS,2010,ES61,2,0.9004
2014,NUTS,2010,ES61,2,0.8938
2015,NUTS,2010,ES61,2,0.9511
2016,NUTS,2010,ES61,2,0.9546
2017,NUTS,2010,ES61,2,1.0149
2018,NUTS,2010,ES61,2,1.0418
2019,NUTS,2010,ES61,2,1.0465
2011,NUTS,2010,ES62,2,0.9553
2012,NUTS,2010,ES62,2,0.9405
