year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2013,NUTS,2010,ES4,1,0.0002
2014,NUTS,2010,ES4,1,0.0002
2015,NUTS,2010,ES4,1,0.0003
2016,NUTS,2010,ES4,1,0.0004
2018,NUTS,2010,ES4,1,0.0005
2019,NUTS,2010,ES4,1,0.0003
2012,NUTS,2010,ES41,2,0.0003
2013,NUTS,2010,ES41,2,0.0002
2014,NUTS,2010,ES41,2,0.0003
2015,NUTS,2010,ES41,2,0.0004
2017,NUTS,2010,ES41,2,0.0004
2018,NUTS,2010,ES41,2,0.0005
2019,NUTS,2010,ES41,2,0.0002
2013,NUTS,2010,ES42,2,0.0001
2014,NUTS,2010,ES42,2,0.0
2015,NUTS,2010,ES42,2,0.0001
2017,NUTS,2010,ES42,2,0.0002
2011,NUTS,2010,ES43,2,0.0002
2013,NUTS,2010,ES43,2,0.0002
2014,NUTS,2010,ES43,2,0.0002
2015,NUTS,2010,ES43,2,0.0003
2016,NUTS,2010,ES43,2,0.0004
2011,NUTS,2010,ES5,1,0.0011
2012,NUTS,2010,ES5,1,0.001
2013,NUTS,2010,ES5,1,0.001
2014,NUTS,2010,ES5,1,0.0015
2015,NUTS,2010,ES5,1,0.0013
2016,NUTS,2010,ES5,1,0.0023
2017,NUTS,2010,ES5,1,0.0017
2018,NUTS,2010,ES5,1,0.002
2011,NUTS,2010,ES51,2,0.0018
2012,NUTS,2010,ES51,2,0.0016
2013,NUTS,2010,ES51,2,0.0015
2014,NUTS,2010,ES51,2,0.0023
2015,NUTS,2010,ES51,2,0.0022
2016,NUTS,2010,ES51,2,0.0039
2017,NUTS,2010,ES51,2,0.0028
2018,NUTS,2010,ES51,2,0.0032
2019,NUTS,2010,ES51,2,0.0029
2011,NUTS,2010,ES52,2,0.0003
2012,NUTS,2010,ES52,2,0.0003
2013,NUTS,2010,ES52,2,0.0003
2014,NUTS,2010,ES52,2,0.0004
2015,NUTS,2010,ES52,2,0.0001
2016,NUTS,2010,ES52,2,0.0002
2017,NUTS,2010,ES52,2,0.0002
2018,NUTS,2010,ES52,2,0.0004
2019,NUTS,2010,ES52,2,0.0004
2011,NUTS,2010,ES53,2,0.0003
2012,NUTS,2010,ES53,2,0.0003
2013,NUTS,2010,ES53,2,0.0004
2014,NUTS,2010,ES53,2,0.0004
2015,NUTS,2010,ES53,2,0.0003
2016,NUTS,2010,ES53,2,0.0008
2017,NUTS,2010,ES53,2,0.0008
2018,NUTS,2010,ES53,2,0.0009
2011,NUTS,2010,ES6,1,0.0005
2012,NUTS,2010,ES6,1,0.0005
2013,NUTS,2010,ES6,1,0.0003
2014,NUTS,2010,ES6,1,0.0003
2015,NUTS,2010,ES6,1,0.0004
2016,NUTS,2010,ES6,1,0.0011
2017,NUTS,2010,ES6,1,0.0003
2018,NUTS,2010,ES6,1,0.0003
2019,NUTS,2010,ES6,1,0.0003
2011,NUTS,2010,ES61,2,0.0003
2012,NUTS,2010,ES61,2,0.0003
2013,NUTS,2010,ES61,2,0.0004
2014,NUTS,2010,ES61,2,0.0003
2015,NUTS,2010,ES61,2,0.0003
2016,NUTS,2010,ES61,2,0.0012
2017,NUTS,2010,ES61,2,0.0003
2018,NUTS,2010,ES61,2,0.0003
2019,NUTS,2010,ES61,2,0.0003
2012,NUTS,2010,ES62,2,0.0015
2013,NUTS,2010,ES62,2,0.0003
2014,NUTS,2010,ES62,2,0.0002
2015,NUTS,2010,ES62,2,0.0008
2016,NUTS,2010,ES62,2,0.0004
2018,NUTS,2010,ES62,2,0.0003
2019,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0002
2012,NUTS,2010,ES7,1,0.0002
2013,NUTS,2010,ES7,1,0.0001
2014,NUTS,2010,ES7,1,0.0001
2015,NUTS,2010,ES7,1,0.0001
2016,NUTS,2010,ES7,1,0.0001
2017,NUTS,2010,ES7,1,0.0001
2018,NUTS,2010,ES7,1,0.0002
2011,NUTS,2010,ES70,2,0.0002
2012,NUTS,2010,ES70,2,0.0002
2013,NUTS,2010,ES70,2,0.0001
2014,NUTS,2010,ES70,2,0.0001
2015,NUTS,2010,ES70,2,0.0001
2016,NUTS,2010,ES70,2,0.0001
2017,NUTS,2010,ES70,2,0.0001
2018,NUTS,2010,ES70,2,0.0002
2011,NUTS,2010,EU27_2020,7,0.0072
2012,NUTS,2010,EU27_2020,7,0.0072
2013,NUTS,2010,EU27_2020,7,0.0053
2014,NUTS,2010,EU27_2020,7,0.0057
2015,NUTS,2010,EU27_2020,7,0.0057
2016,NUTS,2010,EU27_2020,7,0.0064
