year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_fte_f
2014,NUTS,2010,HR,0,0.1977
2015,NUTS,2010,HR,0,0.2024
2016,NUTS,2010,HR,0,0.2549
2017,NUTS,2010,HR,0,0.2541
2018,NUTS,2010,HR,0,0.2552
2019,NUTS,2010,HR,0,0.2955
2020,NUTS,2010,HR,0,0.3017
2011,NUTS,2010,HR0,1,0.2044
2012,NUTS,2010,HR0,1,0.2067
2013,NUTS,2010,HR0,1,0.2096
2014,NUTS,2010,HR0,1,0.1949
2015,NUTS,2010,HR0,1,0.1997
2016,NUTS,2010,HR0,1,0.2523
2017,NUTS,2010,HR0,1,0.2513
2018,NUTS,2010,HR0,1,0.252
2019,NUTS,2010,HR0,1,0.2911
2020,NUTS,2010,HR0,1,0.298
2011,NUTS,2010,HR03,2,0.2426
2012,NUTS,2010,HR03,2,0.2449
2013,NUTS,2010,HR03,2,0.2471
2014,NUTS,2010,HR03,2,0.2289
2015,NUTS,2010,HR03,2,0.2169
2016,NUTS,2010,HR03,2,0.264
2017,NUTS,2010,HR03,2,0.2505
2018,NUTS,2010,HR03,2,0.2509
2019,NUTS,2010,HR03,2,0.3109
2020,NUTS,2010,HR03,2,0.327
2011,NUTS,2010,HR04,2,0.1871
2012,NUTS,2010,HR04,2,0.1892
2013,NUTS,2010,HR04,2,0.1927
2014,NUTS,2010,HR04,2,0.1782
2015,NUTS,2010,HR04,2,0.1911
2016,NUTS,2010,HR04,2,0.2467
2017,NUTS,2010,HR04,2,0.2517
2018,NUTS,2010,HR04,2,0.2526
2019,NUTS,2010,HR04,2,0.2817
2011,NUTS,2010,HU,0,0.1057
2012,NUTS,2010,HU,0,0.1073
2013,NUTS,2010,HU,0,0.1067
2014,NUTS,2010,HU,0,0.1047
2015,NUTS,2010,HU,0,0.1004
2016,NUTS,2010,HU,0,0.0995
2017,NUTS,2010,HU,0,0.1098
2018,NUTS,2010,HU,0,0.1479
2019,NUTS,2010,HU,0,0.1714
