year,region_type,region_year_spec,region_id,region_level,medrxiv_count
2020,NUTS,2016,DEA4,2,5
2020,NUTS,2016,DEA41,3,1
2020,NUTS,2016,DEA47,3,4
2020,NUTS,2016,DEA5,2,17
2020,NUTS,2016,DEA51,3,15
2020,NUTS,2016,DEA56,3,2
2020,NUTS,2016,DEB,1,10
2020,NUTS,2016,DEB2,2,3
2020,NUTS,2016,DEB21,3,3
2020,NUTS,2016,DEB3,2,7
2020,NUTS,2016,DEB32,3,6
2020,NUTS,2016,DEB33,3,1
2020,NUTS,2016,DEC,1,10
2020,NUTS,2016,DEC0,2,10
2020,NUTS,2016,DEC01,3,10
2020,NUTS,2016,DED,1,74
2020,NUTS,2016,DED2,2,4
2020,NUTS,2016,DED21,3,4
2020,NUTS,2016,DED4,2,52
2020,NUTS,2016,DED41,3,36
2020,NUTS,2016,DED43,3,16
2020,NUTS,2016,DED5,2,18
2020,NUTS,2016,DED51,3,18
2020,NUTS,2016,DEE,1,16
2020,NUTS,2016,DEE0,2,16
2020,NUTS,2016,DEE02,3,4
2020,NUTS,2016,DEE03,3,12
2020,NUTS,2016,DEF,1,8
2020,NUTS,2016,DEF0,2,8
2020,NUTS,2016,DEF03,3,8
2020,NUTS,2016,DEG,1,3
2020,NUTS,2016,DEG0,2,3
2020,NUTS,2016,DEG03,3,1
2020,NUTS,2016,DEG05,3,2
2020,NUTS,2016,DK,0,270
2020,NUTS,2016,DK0,1,270
2020,NUTS,2016,DK01,2,164
2020,NUTS,2016,DK011,3,139
2020,NUTS,2016,DK012,3,25
2020,NUTS,2016,DK02,2,6
2020,NUTS,2016,DK021,3,5
2020,NUTS,2016,DK022,3,1
2020,NUTS,2016,DK03,2,44
2020,NUTS,2016,DK031,3,44
2020,NUTS,2016,DK04,2,45
2020,NUTS,2016,DK042,3,45
2020,NUTS,2016,DK05,2,11
2020,NUTS,2016,DK050,3,11
2020,NUTS,2016,EE,0,26
2020,NUTS,2016,EE0,1,26
2020,NUTS,2016,EE00,2,26
2020,NUTS,2016,EE001,3,3
2020,NUTS,2016,EE008,3,23
2020,NUTS,2016,EL,0,122
2020,NUTS,2016,EL3,1,59
2020,NUTS,2016,EL30,2,59
2020,NUTS,2016,EL301,3,1
2020,NUTS,2016,EL303,3,58
2020,NUTS,2016,EL4,1,5
2020,NUTS,2016,EL43,2,5
2020,NUTS,2016,EL433,3,4
2020,NUTS,2016,EL434,3,1
2020,NUTS,2016,EL5,1,41
2020,NUTS,2016,EL51,2,10
2020,NUTS,2016,EL512,3,10
2020,NUTS,2016,EL52,2,23
2020,NUTS,2016,EL522,3,23
2020,NUTS,2016,EL53,2,1
2020,NUTS,2016,EL531,3,1
2020,NUTS,2016,EL54,2,7
2020,NUTS,2016,EL543,3,7
2020,NUTS,2016,EL6,1,17
2020,NUTS,2016,EL61,2,10
2020,NUTS,2016,EL613,3,10
2020,NUTS,2016,EL63,2,6
2020,NUTS,2016,EL632,3,6
2020,NUTS,2016,EL65,2,1
2020,NUTS,2016,EL651,3,1
2020,NUTS,2016,ES,0,403
2020,NUTS,2016,ES1,1,17
2020,NUTS,2016,ES11,2,13
2020,NUTS,2016,ES111,3,11
2020,NUTS,2016,ES114,3,2
2020,NUTS,2016,ES12,2,4
2020,NUTS,2016,ES120,3,4
2020,NUTS,2016,ES2,1,26
2020,NUTS,2016,ES21,2,8
2020,NUTS,2016,ES213,3,8
2020,NUTS,2016,ES22,2,5
2020,NUTS,2016,ES220,3,5
2020,NUTS,2016,ES24,2,13
2020,NUTS,2016,ES243,3,13
